Step #1 --------------------
Particle | Position (X) | Position (Y) | Velocity (X) | Velocity (Y) | Acceler. (X) | Acceler. (Y) |
Particle | Position (X) | Velocity (X) | Acceler. (X) |
       1 | 8.401877e+00 | 3.943829e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
       2 | 7.830992e+00 | 7.984400e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
       3 | 9.116474e+00 | 1.975514e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
       4 | 3.352228e+00 | 7.682296e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
       5 | 2.777747e+00 | 5.539700e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
       6 | 4.773971e+00 | 6.288709e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
       7 | 9.522297e+00 | 9.161951e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
       8 | 6.357117e+00 | 7.172969e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
       9 | 1.416026e+00 | 6.069689e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      10 | 1.630057e-01 | 2.428868e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      11 | 1.372316e+00 | 8.041768e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      12 | 1.566791e+00 | 4.009444e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      13 | 1.297904e+00 | 1.088088e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      14 | 5.129324e+00 | 8.391122e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      15 | 6.126398e+00 | 2.960316e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      16 | 6.375523e+00 | 5.242872e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      17 | 4.935830e+00 | 9.727750e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      18 | 4.002286e+00 | 8.915295e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      19 | 2.833147e+00 | 3.524583e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      20 | 8.077245e+00 | 9.190265e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      21 | 6.975528e-01 | 9.493271e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      22 | 5.259954e+00 | 8.605585e-01 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      23 | 2.382800e+00 | 9.706341e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      24 | 9.308098e+00 | 7.209523e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      25 | 6.878614e+00 | 1.659742e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      26 | 9.564683e+00 | 5.886401e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      27 | 6.573040e+00 | 8.586763e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      28 | 4.824907e+00 | 2.158250e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      29 | 1.875331e+00 | 2.762347e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      30 | 5.564438e+00 | 4.165013e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      31 | 6.844450e+00 | 3.831883e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      32 | 2.941604e+00 | 2.322615e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      33 | 5.252926e-01 | 5.215634e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      34 | 9.977990e+00 | 5.405758e-01 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      35 | 8.705399e+00 | 7.232880e-01 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      36 | 7.478093e+00 | 6.289099e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      37 | 3.542091e-01 | 7.478029e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      38 | 9.443181e+00 | 4.509176e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      39 | 4.345133e+00 | 3.231460e-02 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
      40 | 7.757672e+00 | 2.883794e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 | 0.000000e+00 |
Step #100 --------------------
Particle | Position (X) | Position (Y) | Velocity (X) | Velocity (Y) | Acceler. (X) | Acceler. (Y) |
Particle | Position (X) | Velocity (X) | Acceler. (X) |
       1 | 9.111573e+00 | 3.910988e+00 |-2.591619e+00 | 2.003895e+00 |-3.186002e+01 |-6.809056e+01 |
       2 | 1.292930e+00 | 8.871265e+00 | 6.826649e+00 |-2.347148e+00 | 3.436815e+02 |-8.628799e+02 |
       3 | 8.566103e+00 | 2.992672e+00 |-2.296145e+00 | 7.486299e+00 |-2.164785e+00 |-2.030838e+00 |
       4 | 3.412858e+00 | 7.779085e+00 | 2.476600e-01 | 4.175919e-01 |-1.564094e-01 | 1.769448e+00 |
       5 | 2.689524e+00 | 5.552230e+00 |-4.066300e-01 | 2.345004e-02 |-2.906333e+00 |-6.246030e-01 |
       6 | 4.327088e+00 | 5.956549e+00 |-1.269225e+01 |-9.279833e+00 | 2.131654e+00 | 5.316506e-01 |
       7 | 9.681619e+00 | 9.333800e+00 |-4.284264e-01 | 8.596129e-01 |-1.102595e+00 |-8.889898e-01 |
       8 | 5.385576e+00 | 6.629952e+00 | 1.025696e+00 |-2.034797e+00 |-1.670806e+01 |-2.703038e+01 |
       9 | 1.419737e+00 | 5.920057e+00 | 3.092929e+00 |-2.276288e+00 | 1.521343e+02 | 1.926578e+01 |
      10 | 1.411924e-01 | 3.003599e+00 |-6.165457e-01 | 4.943922e+00 |-1.411771e+00 | 1.598860e+00 |
      11 | 2.037461e+00 | 7.654833e+00 | 5.339002e+00 |-3.135740e+00 | 4.605899e-01 | 8.801385e-01 |
      12 | 1.288286e+00 | 5.032823e+00 | 1.279220e+00 | 3.061423e-01 |-2.151630e+01 |-1.433143e+02 |
      13 | 8.301565e-03 | 3.638946e-01 |-7.886000e+00 | 2.230230e-01 | 2.644136e+01 |-2.780485e-01 |
      14 | 5.069253e+00 | 8.424537e+00 |-7.520269e-02 |-5.975744e-02 | 4.591007e+00 |-3.543013e+00 |
      15 | 5.816928e+00 | 2.339421e+00 |-1.971640e+00 |-5.016618e+00 | 6.397920e+01 | 1.671093e+01 |
      16 | 6.365319e+00 | 5.110369e+00 |-1.310384e-01 |-6.006013e-01 |-1.183395e-01 |-1.380747e+00 |
      17 | 7.674357e+00 | 7.310674e-01 |-1.877820e+00 | 8.550084e-01 | 7.568563e-01 | 2.040739e+00 |
      18 | 4.057179e+00 | 8.803409e+00 |-6.391145e-03 |-4.554165e-01 |-4.747014e+00 |-6.565577e-01 |
      19 | 4.787772e+00 | 3.742066e+00 | 1.764903e+00 |-4.399206e+00 | 1.256316e+00 |-5.043710e-01 |
      20 | 5.882414e+00 | 7.484921e+00 |-2.874340e+00 | 4.628533e-01 | 1.381664e+01 | 2.709231e+01 |
      21 | 1.002329e+00 | 9.604197e+00 | 8.619656e+00 |-3.671243e+00 |-3.442337e+02 | 8.640709e+02 |
      22 | 5.232054e+00 | 9.548967e-01 |-8.744040e-02 | 4.767337e-01 | 2.381018e-01 | 2.976731e+00 |
      23 | 2.371596e+00 | 9.721655e+00 |-1.014550e-01 |-2.286366e-02 |-3.066553e+00 |-1.587902e+00 |
      24 | 9.376980e+00 | 7.192149e+00 | 1.205128e+00 | 2.455652e+00 |-7.500432e-01 |-2.232710e+00 |
      25 | 6.881285e+00 | 1.755644e+00 |-3.793661e-02 | 2.989165e-01 |-2.268712e+01 |-1.395785e+01 |
      26 | 8.425182e+00 | 6.331836e+00 |-9.187017e+00 | 1.803620e+00 | 2.308253e-01 | 2.463246e+00 |
      27 | 7.441560e+00 | 7.014331e+00 | 2.979213e-01 | 2.962244e-01 | 1.159978e+00 |-1.131372e+00 |
      28 | 4.906357e+00 | 2.085619e+00 | 1.004961e-02 |-4.055853e-01 |-6.120129e+01 |-1.833590e+01 |
      29 | 2.461628e+00 | 4.059753e+00 | 1.530568e+00 | 2.366213e+00 |-2.001288e+00 |-5.510280e-01 |
      30 | 5.300929e+00 | 4.749412e+00 | 1.004202e+00 | 9.430334e+00 | 5.890897e-02 |-1.208521e-01 |
      31 | 6.396267e+00 | 3.683894e+00 | 3.584290e-01 |-4.190508e-01 | 3.811063e-01 | 8.120310e-01 |
      32 | 2.849031e+00 | 2.451195e+00 |-3.021316e-01 | 4.842079e-01 |-1.781631e+00 | 1.658407e+00 |
      33 | 3.271165e-01 | 5.692013e+00 | 7.892568e-01 | 1.210654e+00 |-2.390220e+01 |-4.489439e+01 |
      34 | 8.312574e+00 | 9.797437e+00 |-3.108099e+00 |-1.904551e+00 |-3.865012e+01 |-3.722007e+01 |
      35 | 9.011368e+00 | 4.475135e-01 | 3.744926e+00 |-2.647022e+00 | 1.573854e+01 | 3.784084e+01 |
      36 | 7.694402e+00 | 3.795842e+00 | 5.592422e-01 | 3.897047e-01 | 6.942840e-01 |-2.364681e+00 |
      37 | 7.857756e-01 | 6.537331e+00 |-7.350511e-01 |-1.845544e+00 |-1.054236e+02 | 1.671412e+02 |
      38 | 9.516760e+00 | 4.751466e+00 | 1.899427e+00 | 4.999032e+00 | 3.620160e+01 | 7.303603e+01 |
      39 | 1.694181e+00 | 3.109115e+00 | 8.853410e+00 | 4.361091e+00 | 2.284188e+00 | 9.971803e-01 |
      40 | 7.728094e+00 | 2.281208e+00 |-1.035093e+00 |-5.632917e+00 | 2.015235e+01 | 1.273264e+01 |
Step #200 --------------------
Particle | Position (X) | Position (Y) | Velocity (X) | Velocity (Y) | Acceler. (X) | Acceler. (Y) |
Particle | Position (X) | Velocity (X) | Acceler. (X) |
       1 | 7.855776e+00 | 5.416160e+00 | 2.305229e+00 | 1.600676e+00 | 2.833549e+01 |-5.309080e+00 |
       2 | 3.005960e+00 | 6.901891e+00 | 9.123749e-01 |-2.819283e+00 | 1.803915e+00 | 1.422361e+00 |
       3 | 8.322112e+00 | 3.286145e+00 |-1.842769e+00 |-3.400448e+00 |-1.533526e+01 |-3.576900e+01 |
       4 | 4.218884e+00 | 6.373123e+00 |-2.019162e+00 |-8.648097e+00 |-1.554642e+00 | 9.134989e-01 |
       5 | 3.128492e+00 | 4.881720e+00 |-1.103397e+00 |-1.434360e+00 | 1.094553e+00 |-9.988539e-01 |
       6 | 6.089236e+00 | 4.028168e+00 | 3.702620e+00 | 1.294497e+00 |-2.574332e-01 | 4.885101e+00 |
       7 | 9.490145e+00 | 9.875971e+00 | 1.003989e+00 | 4.104932e+00 | 1.653063e+01 |-2.602894e+01 |
       8 | 6.790309e+00 | 6.830407e+00 | 4.474713e+00 | 2.804071e-03 | 9.272561e+01 | 4.990685e+00 |
       9 | 1.902344e+00 | 8.027266e+00 | 1.800062e+00 | 5.232313e+00 |-9.760837e-01 |-1.197518e+00 |
      10 | 8.677217e+00 | 4.192815e+00 |-2.658380e+00 | 1.215762e+00 | 1.207853e+01 | 3.779646e+01 |
      11 | 3.902352e+00 | 3.711159e+00 |-1.446637e+00 |-1.074163e+01 |-7.017421e+00 | 5.770795e+00 |
      12 | 3.460322e-01 | 5.012715e+00 |-1.065587e+00 | 9.004830e-01 |-8.618838e-03 | 4.084171e-01 |
      13 | 6.228966e-01 | 3.283510e-01 |-3.369443e+00 |-9.624349e+00 |-1.824251e+00 | 1.449130e+00 |
      14 | 5.233369e+00 | 9.539599e+00 | 2.064880e+00 | 1.663100e+00 | 3.286714e+01 | 3.896680e+01 |
      15 | 6.057038e+00 | 1.065210e+00 | 1.631540e+00 |-3.082042e-01 | 4.147827e+00 | 5.460260e+01 |
      16 | 5.968197e+00 | 5.118917e+00 | 1.041778e+00 | 2.471805e+00 |-5.950164e-01 | 8.992567e-01 |
      17 | 5.994159e+00 | 1.114395e-01 | 3.380285e+00 | 2.797440e-01 | 4.426798e+01 |-2.086798e+01 |
      18 | 3.512305e+00 | 8.144964e+00 |-1.337095e+00 |-3.603334e+00 | 4.385440e-01 |-5.910580e-01 |
      19 | 5.541718e+00 | 2.059167e+00 | 6.476764e+00 |-4.907500e+00 | 2.510272e+02 | 6.062990e+01 |
      20 | 4.569654e+00 | 8.909198e+00 |-9.388702e+00 |-1.983477e+00 |-7.903779e+01 |-7.460178e+01 |
      21 | 2.486714e+00 | 2.974273e-01 |-6.840759e-01 | 1.393158e+00 |-5.173881e+02 | 9.246485e+01 |
      22 | 4.699999e+00 | 1.866112e+00 | 5.892069e-01 | 8.038923e+00 |-2.511756e+02 |-5.586876e+01 |
      23 | 3.295318e+00 | 1.536554e-01 | 7.105850e-01 |-2.441660e-01 | 5.178327e+02 |-9.159553e+01 |
      24 | 8.702368e+00 | 9.023829e+00 |-5.681872e+00 | 2.849649e+00 |-7.393507e-02 | 2.346188e+00 |
      25 | 6.939158e+00 | 2.082044e+00 | 2.711101e-01 | 1.871492e+00 |-4.416156e-01 |-6.205990e+00 |
      26 | 6.901259e+00 | 5.690448e+00 |-6.685428e+00 | 3.512751e+00 |-2.471188e+01 | 7.957170e+00 |
      27 | 6.316323e+00 | 8.325670e+00 |-1.366544e+00 |-2.119542e+00 |-2.648831e+01 |-4.392572e+01 |
      28 | 3.495082e+00 | 1.762693e+00 |-3.863287e+00 |-1.414588e-01 | 9.596815e+01 |-6.903915e+01 |
      29 | 9.505769e-01 | 1.547990e+00 |-3.528354e-01 | 1.929036e+00 |-3.963749e-01 |-2.452197e+00 |
      30 | 5.868408e+00 | 6.773438e+00 | 3.996511e+00 | 8.031126e+00 |-9.220768e+01 |-6.602398e+00 |
      31 | 6.460105e+00 | 3.035306e+00 | 3.498659e+00 |-7.952076e+00 |-1.575122e+00 |-2.312453e+00 |
      32 | 2.761080e+00 | 2.301553e+00 |-7.361687e-01 |-1.257628e-01 |-9.315983e+01 | 6.861569e+01 |
      33 | 1.237248e+00 | 6.431707e+00 | 1.880809e+00 | 3.828617e+00 |-2.702577e-01 | 9.334486e-01 |
      34 | 6.806329e+00 | 9.150077e+00 |-1.052744e+00 | 1.637649e+00 | 2.525024e+01 | 4.700465e+01 |
      35 | 7.654818e+00 | 9.994308e+00 | 1.431357e+00 | 1.866750e+00 |-9.224004e-02 |-1.878298e+00 |
      36 | 7.291319e+00 | 4.495307e+00 | 8.505579e-01 |-7.066584e-01 |-4.246034e+00 |-2.541061e+00 |
      37 | 6.019931e-01 | 7.847783e+00 | 1.229086e+00 | 1.935537e+00 | 8.315687e-01 |-1.157349e+00 |
      38 | 9.339675e+00 | 7.294732e+00 |-1.427617e-01 | 5.974738e+00 | 1.611376e+00 | 9.200494e-01 |
      39 | 4.717315e+00 | 3.045127e+00 |-1.429982e+00 |-3.171427e-01 | 8.161257e+00 |-8.716081e+00 |
      40 | 8.977655e+00 | 7.204521e-01 | 2.974756e+00 |-2.558057e+00 |-1.613928e+01 | 2.468215e+01 |
Step #300 --------------------
Particle | Position (X) | Position (Y) | Velocity (X) | Velocity (Y) | Acceler. (X) | Acceler. (Y) |
Particle | Position (X) | Velocity (X) | Acceler. (X) |
       1 | 9.016026e+00 | 5.876583e+00 | 2.352771e+00 | 2.544411e-02 | 3.754412e+00 |-1.351107e+01 |
       2 | 3.196519e+00 | 5.004276e+00 |-6.000037e+00 |-3.906987e+00 |-2.353723e+01 | 2.209260e-01 |
       3 | 9.285306e+00 | 3.821534e+00 | 6.080336e+00 | 6.044925e+00 |-2.852774e-01 |-6.476659e+01 |
       4 | 3.698185e+00 | 2.490256e+00 |-2.603899e+00 |-1.488007e+00 |-3.451454e-01 | 6.242788e-01 |
       5 | 1.996102e+00 | 4.093362e+00 |-1.888032e+00 |-2.228457e-01 | 3.369934e+02 | 4.394539e+02 |
       6 | 6.013288e+00 | 4.696825e+00 |-1.364802e+00 | 1.231390e+00 | 3.415850e-01 |-5.831375e-01 |
       7 | 1.312926e-01 | 6.508350e-01 |-2.881977e+00 | 3.054325e+00 |-8.114674e+01 |-3.267635e+01 |
       8 | 9.418422e+00 | 7.094600e+00 | 1.983345e+00 | 3.459910e+00 | 1.045386e+02 | 3.575127e+01 |
       9 | 1.049640e+00 | 6.099358e-01 | 5.407909e+00 | 2.113875e+00 | 9.866652e+01 |-2.129724e+00 |
      10 | 9.301638e+00 | 4.766851e+00 | 4.257752e-01 |-9.425441e-01 | 1.923091e+00 | 6.701177e+01 |
      11 | 2.363115e+00 | 1.569162e+00 |-2.837220e+00 |-1.787082e+00 | 1.043430e-01 | 1.582668e-01 |
